,Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Unnamed: 7,Unnamed: 8
138,CREDIT,2024-11-27,UNIVERSITY OF CA 241130M0X                  PPD ID: 2943067788,3476.21,ACH_CREDIT,7336.96,,,
139,DEBIT,2024-11-26,SD GAS & ELEC    PAID SDGER                 PPD ID: 4951184800,-24.17,ACH_DEBIT,3860.75,,,
140,CREDIT,2024-11-12,UC SAN DIEGO     4414092                    PPD ID: 8956006144,670.25,ACH_CREDIT,3884.92,,,
141,CREDIT,2024-11-12,Zelle payment from GEORGINA GABRIELA CANTO ENCALADA 22674816208,3000.0,QUICKPAY_CREDIT,3214.67,,,
142,DEBIT,2024-11-08,PAYPAL           INST XFER  UBER            WEB ID: PAYPALSI77,-28.28,ACH_DEBIT,214.67,,,
143,DEBIT,2024-11-06,Payment to Chase card ending in 4387 11/06,-22.63,LOAN_PMT,242.95,,,
144,DEBIT,2024-11-06,Payment to Chase card ending in 4282 11/06,-7.99,LOAN_PMT,265.58,,,
145,DEBIT,2024-11-06,Payment to Chase card ending in 8160 11/06,-294.5,LOAN_PMT,273.57,,,
146,DEBIT,2024-11-06,Payment to Chase card ending in 1356 11/06,-5459.28,LOAN_PMT,568.07,,,
147,DEBIT,2024-11-05,TOYOTA ACH LEASE 11022024   AL7RJIOD2X1WM33 WEB ID: 3953775816,-465.95,ACH_DEBIT,6027.35,,,
148,DEBIT,2024-11-04,JPMORGAN-676RNTL WEB PMTS   0DCMCH          WEB ID: 9000327993,-2824.35,MISC_DEBIT,6493.30,,,
149,CREDIT,2024-11-01,UNIVERSITY OF CA 241031M0X                  PPD ID: 2943067788,3476.21,ACH_CREDIT,9317.65,,,
