,Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Unnamed: 7,Unnamed: 8
314,DEBIT,2023-09-29,WEST COAST OBGYN INC SAN DIEGO CA            09/29,-15.0,DEBIT_CARD,2433.96,,,
315,DEBIT,2023-09-28,RALPHS #0 5680 MISSION SAN DIEGO CA          09/27,-15.33,DEBIT_CARD,2448.96,,,
316,DEBIT,2023-09-28,472 FACULTY STAFF CLUB SAN DIEGO CA          09/27,-15.0,DEBIT_CARD,2464.29,,,
317,DEBIT,2023-09-26,IN N OUT BURGER 128 SAN DIEGO CA             09/24,-3.12,DEBIT_CARD,2479.29,,,
318,DEBIT,2023-09-26,IN N OUT BURGER 128 SAN DIEGO CA             09/24,-8.73,DEBIT_CARD,2482.41,,,
319,DEBIT,2023-09-25,CVS/PHARMACY #09 09963 San Diego CA  019977  09/25,-55.34,DEBIT_CARD,2491.14,,,
320,DEBIT,2023-09-25,FOOD4LESS 7730 HAZARD SAN DIEGO CA           09/25,-57.73,DEBIT_CARD,2546.48,,,
321,DEBIT,2023-09-21,PANDA EXPRESS 885 SAN DIEGO CA               09/20,-10.56,DEBIT_CARD,2604.21,,,
322,DEBIT,2023-09-18,COSTCO WHSE #0488 SAN DIEGO CA       422729  09/16,-1.73,DEBIT_CARD,2614.77,,,
323,DEBIT,2023-09-15,MTS- PRONTO SAN DIEGO CA                     09/13,-2.5,DEBIT_CARD,2616.50,,,
324,CREDIT,2023-09-15,SDSU FOUNDATION  INVOICE                    PPD ID: 9892782001,350.0,ACH_CREDIT,2619.00,,,
325,DEBIT,2023-09-13,KUMARA PRATHIPATI MD I 619-2863222 CA        09/11,-15.0,DEBIT_CARD,2269.00,,,
326,DEBIT,2023-09-13,MTS- PRONTO SAN DIEGO CA                     09/11,-2.5,DEBIT_CARD,2284.00,,,
327,DEBIT,2023-09-08,Online Transfer to  SAV ...9000 transaction#: 18114845268,-500.0,ACCT_XFER,2286.50,,,
328,DEBIT,2023-09-05,Zelle payment to Juancho 18334621815,-2000.0,QUICKPAY_DEBIT,2786.50,,,
329,DEBIT,2023-09-01,PANDA EXPRESS 885 SAN DIEGO CA               08/31,-8.94,DEBIT_CARD,4786.50,,,
330,CREDIT,2023-09-01,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,922.0,ACH_CREDIT,4795.44,,,
331,CREDIT,2023-09-01,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,2030.93,ACH_CREDIT,3873.44,,,
