,Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Unnamed: 7,Unnamed: 8
303,CREDIT,2023-10-31,Online Transfer from SAV ...9000 transaction#: 18870705974,500.0,ACCT_XFER,579.90,,,
304,DEBIT,2023-10-30,Zelle payment to Juancho 18862283945,-2000.0,QUICKPAY_DEBIT,79.90,,,
305,DEBIT,2023-10-13,Zelle payment to Daniel Caro 18715335049,-15.0,QUICKPAY_DEBIT,2079.90,,,
306,DEBIT,2023-10-06,Online Transfer to  SAV ...9000 transaction#: 18388131521,-500.0,ACCT_XFER,2094.90,,,
307,DEBIT,2023-10-02,Zelle payment to Daniel Caro 18610601060,-63.0,QUICKPAY_DEBIT,2594.90,,,
308,DEBIT,2023-10-02,Zelle payment to Juancho 18600020428,-2000.0,QUICKPAY_DEBIT,2657.90,,,
309,DEBIT,2023-10-02,USPS PO 05673801 2150 SAN DIEGO CA   812147  09/30,-1.25,DEBIT_CARD,4657.90,,,
310,DEBIT,2023-10-02,ATM WITHDRAWAL                       006209  09/301370 FRAZ,-30.0,ATM,4659.15,,,
311,DEBIT,2023-10-02,TARGET        00014100 SAN DIEGO CA          09/29,-44.77,DEBIT_CARD,4689.15,,,
312,DEBIT,2023-10-02,Subway 57844 San Diego CA                    09/29,-8.39,DEBIT_CARD,4733.92,,,
313,CREDIT,2023-10-02,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,2308.35,ACH_CREDIT,4742.31,,,
