,Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Unnamed: 7,Unnamed: 8
102,DEBIT,2024-09-30,TST*JAMAL CHICKEN - SDS San Diego CA         09/27,-8.61,DEBIT_CARD,496.70,,,
103,DEBIT,2024-09-30,FACULTY STAFF CLUB 472 619-5947611 CA        09/26,-32.0,DEBIT_CARD,505.31,,,
104,DEBIT,2024-09-30,ROSS STORE #348 SAN DIEGO CA                 09/27,18.31,DEBIT_CARD,537.31,,,
105,DEBIT,2024-09-25,AZTEC MARKET BELL PAVI 619-5947611 CA        09/23,-4.49,DEBIT_CARD,519.00,,,
106,DEBIT,2024-09-23,AZTEC MARKET ASU 802 619-5947611 CA          09/20,-2.99,DEBIT_CARD,523.49,,,
107,DEBIT,2024-09-23,AZTEC MARKET BELL PAVI 619-5947611 CA        09/19,-2.49,DEBIT_CARD,526.48,,,
108,DEBIT,2024-09-19,SDSU BOOKSTORE 304 SAN DIEGO CA      569926  09/19,-63.57,DEBIT_CARD,528.97,,,
109,DEBIT,2024-09-19,SDSU BOOKSTORE 304 SAN DIEGO CA      030111  09/19,-16.16,DEBIT_CARD,592.54,,,
110,DEBIT,2024-09-19,FACULTY STAFF CLUB 472 619-5947611 CA        09/17,-16.0,DEBIT_CARD,608.70,,,
111,DEBIT,2024-09-16,TRADER JOE S #22 TRADE SAN DIEGO CA  617961  09/16,-14.56,DEBIT_CARD,624.70,,,
112,DEBIT,2024-09-16,RALPHS #0077 SAN DIEGO CA                    09/15,-89.74,DEBIT_CARD,639.26,,,
113,DEBIT,2024-09-16,NORTHGATE MARKET #036 SAN DIEGO CA   963575  09/15,-8.72,DEBIT_CARD,729.00,,,
114,DEBIT,2024-09-16,NORTHGATE MARKET #036 SAN DIEGO CA   959274  09/15,-59.08,DEBIT_CARD,737.72,,,
115,DEBIT,2024-09-16,AZTEC MARKET BELL PAVI 619-5947611 CA        09/13,-3.99,DEBIT_CARD,796.80,,,
116,DEBIT,2024-09-12,Zelle payment to Juancho 22035907777,-3000.0,QUICKPAY_DEBIT,800.79,,,
117,DEBIT,2024-09-12,AZTEC MARKET BELL PAVI 619-5947611 CA        09/10,-4.19,DEBIT_CARD,3800.79,,,
118,CREDIT,2024-09-12,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,107.01,ACH_CREDIT,3804.98,,,
119,DEBIT,2024-09-11,FACULTY STAFF CLUB 472 619-5947611 CA        09/09,-16.0,DEBIT_CARD,3697.97,,,
120,CREDIT,2024-09-11,Zelle payment from ALEXIS SALDIVAR GARCIA USBYFgTjuhS4,32.3,PARTNERFI_TO_CHASE,3713.97,,,
121,DEBIT,2024-09-09,T.J. MAXX #1476 SAN DIEGO CA                 09/08,-13.98,DEBIT_CARD,3681.67,,,
122,DEBIT,2024-09-09,ROSS STORE #348 SAN DIEGO CA                 09/06,-47.47,DEBIT_CARD,3695.65,,,
123,DEBIT,2024-09-09,AZTEC MARKET BELL PAVI 619-5947611 CA        09/06,-4.19,DEBIT_CARD,3743.12,,,
124,DEBIT,2024-09-06,Zelle payment to Juancho 21976772218,-3000.0,QUICKPAY_DEBIT,3747.31,,,
125,DEBIT,2024-09-06,Online Transfer to  SAV ...9000 transaction#: 21661446767,-500.0,ACCT_XFER,6747.31,,,
126,DEBIT,2024-09-05,RUBIO'S #190 SAN DIEGO CA                    09/04,-9.69,DEBIT_CARD,7247.31,,,
127,DEBIT,2024-09-03,AZTEC MARKET BELL PAVI 619-5947611 CA        08/30,-2.49,DEBIT_CARD,7257.00,,,
128,DEBIT,2024-09-03,AZTEC MARKET BELL PAVI 619-5947611 CA        08/30,-3.99,DEBIT_CARD,7259.49,,,
129,DEBIT,2024-09-03,FACULTY STAFF CLUB 472 619-5947611 CA        08/29,-16.0,DEBIT_CARD,7263.48,,,
