,Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Unnamed: 7,Unnamed: 8
332,DEBIT,2023-08-30,7-ELEVEN SAN DIEGO CA                        08/30,-2.38,DEBIT_CARD,1842.51,,,
333,DEBIT,2023-08-30,805 AZ MKT SAN DIEGO CA                      08/28,-7.99,DEBIT_CARD,1844.89,,,
334,DEBIT,2023-08-29,KUMARA PRATHIPATI MD I 619-2863222 CA        08/28,-15.0,DEBIT_CARD,1852.88,,,
335,DEBIT,2023-08-28,805 AZ MKT SAN DIEGO CA                      08/25,-1.19,DEBIT_CARD,1867.88,,,
336,DEBIT,2023-08-24,805 AZ MKT SAN DIEGO CA                      08/22,-4.88,DEBIT_CARD,1869.07,,,
337,DEBIT,2023-08-17,Subway 57844 San Diego CA                    08/16,-8.82,DEBIT_CARD,1873.95,,,
338,DEBIT,2023-08-16,KUMARA PRATHIPATI MD I 619-2863222 CA        08/15,-15.0,DEBIT_CARD,1882.77,,,
339,CREDIT,2023-08-15,Zelle payment from GEORGINA G CANTO ENCALADA USBoykteLPvb,1.0,PARTNERFI_TO_CHASE,1897.77,,,
340,DEBIT,2023-08-14,USPS CHANGE OF ADDRES 800-238-3150 TN        08/13,-1.1,DEBIT_CARD,1896.77,,,
341,DEBIT,2023-08-11,472 FACULTY STAFF CLUB SAN DIEGO CA          08/10,-78.0,DEBIT_CARD,1897.87,,,
342,DEBIT,2023-08-08,Online Transfer to SAV ...9000 transaction#: 18114845242,-500.0,ACCT_XFER,1975.87,,,
343,DEBIT,2023-08-08,FEDERAL INTEREST WITHHELD,-48.0,MISC_DEBIT,2475.87,,,
344,CREDIT,2023-08-08,$200 for New Checking,200.0,MISC_CREDIT,2523.87,,,
345,DEBIT,2023-08-07,WWW.MAJEST* WWW.MAJE WWW.MAJESTYIN CA        08/04,-48.0,DEBIT_CARD,2323.87,,,
346,DEBIT,2023-08-07,805 AZ MKT SAN DIEGO CA                      08/04,-2.29,DEBIT_CARD,2371.87,,,
