,Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Unnamed: 7,Unnamed: 8
130,CREDIT,2024-08-30,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,2430.14,ACH_CREDIT,7279.48,,,
131,DEBIT,2024-08-28,AZTEC MARKET BELL PAVI 619-5947611 CA        08/26,-4.49,DEBIT_CARD,4849.34,,,
132,DEBIT,2024-08-26,AZTEC MARKET BELL PAVI 619-5947611 CA        08/22,-2.99,DEBIT_CARD,4853.83,,,
133,DEBIT,2024-08-23,SDSU 619-5941539 CA                          08/22,-7.42,DEBIT_CARD,4856.82,,,
134,CREDIT,2024-08-22,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,111.07,ACH_CREDIT,4864.24,,,
135,DEBIT,2024-08-21,HABIT SDSU #99 SAN DIEGO CA                  08/20,-14.75,DEBIT_CARD,4753.17,,,
136,DEBIT,2024-08-15,FACULTY STAFF CLUB 472 619-5947611 CA        08/13,-48.0,DEBIT_CARD,4767.92,,,
137,DEBIT,2024-08-15,FACULTY STAFF CLUB 472 619-5947611 CA        08/13,-16.0,DEBIT_CARD,4815.92,,,
138,CREDIT,2024-08-14,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,2142.12,ACH_CREDIT,4831.92,,,
139,DEBIT,2024-08-08,Online Transfer to  SAV ...9000 transaction#: 21340962418,-500.0,ACCT_XFER,2689.80,,,
140,DEBIT,2024-08-02,Zelle payment to Juancho 21606867208,-3000.0,QUICKPAY_DEBIT,3189.80,,,
