,Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Unnamed: 7,Unnamed: 8
288,DEBIT,2024-01-29,CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,-194.83,ACH_DEBIT,4757.89,,,
289,DEBIT,2024-01-29,ATM WITHDRAWAL                       005655  01/28866 N JOH,-350.0,ATM,4952.72,,,
290,DEBIT,2024-01-25,SD GAS & ELEC    PAID SDGE                  PPD ID: 1951184800,-74.93,ACH_DEBIT,5302.72,,,
291,CREDIT,2024-01-11,ATM CASH DEPOSIT 01/11 8807 VILLA LA JOLLA DR LA JOLLA CA,744.0,ATM,5377.65,,,
292,CREDIT,2024-01-11,ATM CASH DEPOSIT 01/11 8807 VILLA LA JOLLA DR LA JOLLA CA,1080.0,ATM,4633.65,,,
293,DEBIT,2024-01-10,PAYPAL           INST XFER  UBER            WEB ID: PAYPALSI77,-169.99,ACH_DEBIT,3553.65,,,
294,DEBIT,2024-01-03,TOYOTA ACH LEASE 01022024   LAPURMPDHNAOXH1 WEB ID: 3953775816,-465.95,ACH_DEBIT,3723.64,,,
295,DEBIT,2024-01-03,YSI*Promenade Acquisit 619-2933888 CA        01/02,-2731.92,DEBIT_CARD,4189.59,,,
296,DEBIT,2024-01-02,Payment to Chase card ending in 8160 01/02,-121.02,LOAN_PMT,6921.51,,,
297,DEBIT,2024-01-02,Payment to Chase card ending in 1356 01/02,-3365.28,LOAN_PMT,7042.53,,,
298,CREDIT,2024-01-02,UNIVERSITY OF CA 231231M0X                  PPD ID: 2943067788,2878.47,ACH_CREDIT,10407.81,,,
299,CREDIT,2024-01-02,Zelle payment from GEORGINA GABRIELA CANTO ENCALADA 19446314215,3000.0,QUICKPAY_CREDIT,7529.34,,,
