,Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Unnamed: 7,Unnamed: 8
79,DEBIT,2024-10-31,Zelle payment to Daniel Caro 22557376421,-13.0,QUICKPAY_DEBIT,5891.04,,,
80,CREDIT,2024-10-31,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,2851.18,ACH_CREDIT,5904.04,,,
81,DEBIT,2024-10-30,FACULTY STAFF CLUB 472 619-5947611 CA        10/28,-16.0,DEBIT_CARD,3052.86,,,
82,DEBIT,2024-10-28,ROSS STORES #257 SAN DIEGO CA                10/27,-80.77,DEBIT_CARD,3068.86,,,
83,CREDIT,2024-10-23,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,2649.85,ACH_CREDIT,3149.63,,,
84,DEBIT,2024-10-18,AZTEC MARKET BELL PAVI 619-5947611 CA        10/16,-5.98,DEBIT_CARD,499.78,,,
85,DEBIT,2024-10-15,TST*II GIARDINO DI LILL San Diego CA         10/13,-20.06,DEBIT_CARD,505.76,,,
86,CREDIT,2024-10-15,Online Transfer from SAV ...9000 transaction#: 22375352270,200.0,ACCT_XFER,525.82,,,
87,DEBIT,2024-10-11,MONTHLY SERVICE FEE,-12.0,FEE_TRANSACTION,325.82,,,
88,DEBIT,2024-10-11,Zelle payment to Alexis S. JPM99ap8ek11,-7.0,CHASE_TO_PARTNERFI,337.82,,,
89,DEBIT,2024-10-11,TST*JAMAL CHICKEN - SDS San Diego CA         10/10,-8.61,DEBIT_CARD,344.82,,,
90,DEBIT,2024-10-11,FACULTY STAFF CLUB 472 619-5947611 CA        10/09,-16.0,DEBIT_CARD,353.43,,,
91,DEBIT,2024-10-10,FACULTY STAFF CLUB 472 619-5947611 CA        10/08,-16.0,DEBIT_CARD,369.43,,,
92,DEBIT,2024-10-09,AZTEC MARKET BELL PAVI 619-5947611 CA        10/07,-2.49,DEBIT_CARD,385.43,,,
93,DEBIT,2024-10-09,AZTEC MARKET BELL PAVI 619-5947611 CA        10/07,-4.49,DEBIT_CARD,387.92,,,
94,DEBIT,2024-10-07,SDSU BOOKSTORE 304 SAN DIEGO CA      190055  10/07,-10.78,DEBIT_CARD,392.41,,,
95,DEBIT,2024-10-07,T.J. MAXX #1476 SAN DIEGO CA                 10/06,-44.15,DEBIT_CARD,403.19,,,
96,DEBIT,2024-10-07,Zelle payment to Juancho 22288162729,-2000.0,QUICKPAY_DEBIT,447.34,,,
97,CREDIT,2024-10-07,Online Transfer from SAV ...9000 transaction#: 22288141348,2000.0,ACCT_XFER,2447.34,,,
98,DEBIT,2024-10-04,TST*JAMAL CHICKEN - SDS San Diego CA         10/03,-8.61,DEBIT_CARD,447.34,,,
99,DEBIT,2024-10-04,AZTEC MARKET BELL PAVI 619-5947611 CA        10/02,-2.99,DEBIT_CARD,455.95,,,
100,DEBIT,2024-10-03,FACULTY STAFF CLUB 472 619-5947611 CA        10/01,-16.0,DEBIT_CARD,458.94,,,
101,DEBIT,2024-10-02,REGAL CINEMAS INC 877-835-5734 TN            10/02,-21.76,DEBIT_CARD,474.94,,,
