,Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Unnamed: 7,Unnamed: 8
255,DEBIT,2024-02-29,BURGER KING #16576 Q07 LA JOLLA CA           02/27,-4.19,DEBIT_CARD,2811.36,,,
256,DEBIT,2024-02-28,AZTEC MARKET BELL PAVI 619-5947611 CA        02/26,-2.29,DEBIT_CARD,2815.55,,,
257,DEBIT,2024-02-26,Zelle payment to Daniel Caro 19977926524,-15.0,QUICKPAY_DEBIT,2817.84,,,
258,DEBIT,2024-02-22,Zelle payment to Daniel Caro 19941730825,-10.0,QUICKPAY_DEBIT,2832.84,,,
259,DEBIT,2024-02-22,THE ART OF ESPRESSO LA JOLLA CA              02/21,-2.6,DEBIT_CARD,2842.84,,,
260,DEBIT,2024-02-22,AZTEC MARKET ASU 802 619-5947611 CA          02/20,-1.99,DEBIT_CARD,2845.44,,,
261,DEBIT,2024-02-15,FACULTY STAFF CLUB 472 619-5947611 CA        02/13,-15.0,DEBIT_CARD,2847.43,,,
262,DEBIT,2024-02-14,ROSS STORE #348 SAN DIEGO CA                 02/13,-12.91,DEBIT_CARD,2862.43,,,
263,DEBIT,2024-02-13,RUBIO'S #190 SAN DIEGO CA                    02/12,-9.69,DEBIT_CARD,2875.34,,,
264,DEBIT,2024-02-12,FACULTY STAFF CLUB 472 619-5947611 CA        02/08,-15.0,DEBIT_CARD,2885.03,,,
265,DEBIT,2024-02-09,TST* BCB CAFE - UCSD - San Diego CA          02/08,-3.75,DEBIT_CARD,2900.03,,,
266,DEBIT,2024-02-08,Online Transfer to  SAV ...9000 transaction#: 19519552378,-500.0,ACCT_XFER,2903.78,,,
267,DEBIT,2024-02-08,TST* BCB CAFE - UCSD - San Diego CA          02/07,-3.75,DEBIT_CARD,3403.78,,,
268,DEBIT,2024-02-07,FACULTY STAFF CLUB 472 619-5947611 CA        02/05,-15.0,DEBIT_CARD,3407.53,,,
269,CREDIT,2024-02-07,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,1278.77,ACH_CREDIT,3422.53,,,
270,DEBIT,2024-02-01,Zelle payment to Juancho 19739384623,-2000.0,QUICKPAY_DEBIT,2143.76,,,
