,Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #,Unnamed: 7,Unnamed: 8
41,DEBIT,2024-12-23,FACULTY STAFF CLUB 472 619-5947611 CA        12/19,-16.0,DEBIT_CARD,2162.18,,,
42,DEBIT,2024-12-19,AZTEC MARKET BELL PAVI 619-5947611 CA        12/17,-3.49,DEBIT_CARD,2178.18,,,
43,DEBIT,2024-12-18,TRADER JOE S #22 TRADE SAN DIEGO CA  709212  12/18,-11.47,DEBIT_CARD,2181.67,,,
44,DEBIT,2024-12-16,AZTEC MARKET BELL PAVI 619-5947611 CA        12/12,-5.69,DEBIT_CARD,2193.14,,,
45,DEBIT,2024-12-13,AZTEC MARKET BELL PAVI 619-5947611 CA        12/11,-0.49,DEBIT_CARD,2198.83,,,
46,DEBIT,2024-12-12,7-ELEVEN SAN DIEGO CA                        12/12,-11.28,DEBIT_CARD,2199.32,,,
47,DEBIT,2024-12-12,TRADER JOE S #22 TRADE SAN DIEGO CA  341663  12/12,-40.31,DEBIT_CARD,2210.60,,,
48,DEBIT,2024-12-12,SDSU BOOKSTORE 304 SAN DIEGO CA      193130  12/12,-5.39,DEBIT_CARD,2250.91,,,
49,DEBIT,2024-12-11,AZTEC MARKET BELL PAVI 619-5947611 CA        12/09,-5.69,DEBIT_CARD,2256.30,,,
50,DEBIT,2024-12-09,Zelle payment to Daniel Caro 22971112898,-1.0,QUICKPAY_DEBIT,2261.99,,,
51,DEBIT,2024-12-09,AZTEC MARKET BELL PAVI 619-5947611 CA        12/06,-0.54,DEBIT_CARD,2262.99,,,
52,DEBIT,2024-12-09,TST* BABA'S PIZZA - SDS SAN DIEGO CA         12/06,-12.92,DEBIT_CARD,2263.53,,,
53,DEBIT,2024-12-06,Online Transfer to  SAV ...9000 transaction#: 22650700015,-500.0,ACCT_XFER,2276.45,,,
54,CREDIT,2024-12-06,Zelle payment from ALEXIS SALDIVAR GARCIA USBhPlMjSIg2,6.5,PARTNERFI_TO_CHASE,2776.45,,,
55,DEBIT,2024-12-05,AZTEC MARKET BELL PAVI 619-5947611 CA        12/03,-2.99,DEBIT_CARD,2769.95,,,
56,DEBIT,2024-12-04,T.J. MAXX 8550 RIO SAN SAN DIEGO CA          12/04,-48.44,DEBIT_CARD,2772.94,,,
57,DEBIT,2024-12-02,TRADER JOE S #22 TRADE SAN DIEGO CA  112542  12/02,-27.49,DEBIT_CARD,2821.38,,,
58,DEBIT,2024-12-02,Zelle payment to Juancho 22900819268,-2000.0,QUICKPAY_DEBIT,2848.87,,,
59,DEBIT,2024-12-02,TARGET T- 1288 CAMINO SAN DIEGO CA           11/30,-54.2,DEBIT_CARD,4848.87,,,
60,CREDIT,2024-12-02,PAYROLL ST OF CA CA PAYROLL                 PPD ID: 9111113698,2851.18,ACH_CREDIT,4903.07,,,
